"date","DJI.INDX","GSPC.INDX","IXIC.INDX","VIX.INDX","SKEW.INDX","SX5E.INDX","UKX.INDX","N225.INDX","XUTD.LSE","XJSE.SW","IS0L.XETRA","MOVE.INDX","CL.COMM","XAUUSD.FOREX","HG.COMM","NG.COMM","KC.COMM","ZC.COMM","AUDUSD.FOREX","CADUSD.FOREX","CHFUSD.FOREX","EURUSD.FOREX","GBPUSD.FOREX","IUSP.SW","IUKP.LSE","IPRP.LSE","BTC-USD.CC","AAA10Y","T5YIFR","T10Y2Y","CNYUSD.FOREX","JPYUSD.FOREX","YearMonth"
2022-10-13,30038.72,3669.9099,10649.1504,31.94,117.82,3286.07352,7760.670883,178.414456,191.315,8.976,118.1018185,155.08,85.61,1665.8,3.4505,6.741,202.15,697.75,0.6299,0.7238,1.0026,0.9773,1.1329,24.9,462.619715,2218.55807,19382.904033633,1.11,2.3,-0.5,0.139458343792709,0.00679232467311938,"2022-10"
2022-10-14,29634.83,3583.0701,10321.3896,32.02,117.82,3286.703387,7661.26843,181.508092,190.62,8.85204,116.870975,152.89,85.61,1641.76,3.4235,6.453,196.7,689.75,0.6197,0.7267,0.9986,0.9719,1.117,25.38,465.9007,2286.21975,19185.656700327,1.09,2.38,-0.48,0.139062717285496,0.00672268907563025,"2022-10"
2022-10-17,30185.82,3677.95,10675.7998,31.37,116.97,3385.885432,7856.548472,179.397793,191.38,8.85204,119.074233,150.42,82.82,1649.94,3.4065,5.999,195.55,683.5,0.6291,0.7218,0.9963,0.9838,1.1353,25.745,491.868725,2381.29175,19550.757299913,1.08,2.42,-0.43,0.138956437156951,0.00670983326064347,"2022-10"
2022-10-18,30523.8,3719.98,10772.4004,30.5,116.88,3412.565316,7851.002332,181.946138,190.54,8.85204,119.11068,145.79,85.55,1651.83,3.3605,5.745,195.1,681,0.631,0.7292,1.0045,0.9852,1.1318,26.4,486.362755,2405.6409,19334.415149983,1.1,2.4,-0.42,0.138848391441385,0.00669904538603249,"2022-10"
2022-10-19,30423.81,3695.1599,10680.5098,30.76,117.26,3391.748604,7765.683786,182.624446,189.94,8.85204,117.5304735,147.73,85.98,1628.49,3.451,5.462,192.3,678.25,0.6271,0.7285,1.0064,0.9771,1.1214,25.73,467.147205,2334.47445,19139.534351389,1.1,2.38,-0.41,0.138335546702081,0.0066711140760507,"2022-10"
2022-10-20,30333.59,3665.78,10614.8398,29.98,117.41,3417.055155,7800.094103,180.946632,189.305,8.85204,117.4791555,155.61,85.05,1627.66,3.523,5.358,191.05,684,0.6276,0.7261,0.9952,0.9783,1.1233,25.71,476.72852,2370.443825,19053.740240537,1.07,2.37,-0.38,0.138565569227358,0.00666000666000666,"2022-10"
2022-10-21,31082.56,3752.75,10859.7197,29.69,116.19,3427.95718,7877.188846,182.855944,188.31,8.85204,117.96997,156.95,85.05,1656.66,3.4745,4.959,190.9,684.25,0.6378,0.7258,0.9962,0.986,1.1302,25.285,476.77487,2360.70525,19172.469217269,1.17,2.35,-0.28,0.138049090256495,0.00677254410619349,"2022-10"
2022-10-24,31499.62,3797.3401,10952.6104,29.85,114.97,3483.339846,7908.273725,180.73183,188.185,8.85204,118.902708,154.02,85.32,1649.7,3.4505,5.199,190.4,681.5,0.6313,0.7302,1.0006,0.9874,1.1275,25.535,482.90825,2385.22625,19345.572348285,1.16,2.46,-0.25,0.137684152554041,0.0067125356603457,"2022-10"
2022-10-25,31836.74,3859.1101,11199.1201,28.46,114.64,3572.671912,8042.357516,185.301904,189.885,8.85204,121.446214,147.78,87.91,1653.22,3.6295,5.613,185.8,686.25,0.6395,0.7344,1.0054,0.9964,1.1467,26.27,516.12967,2515.28645,20095.856455447,1.2,2.4,-0.32,0.137562935042782,0.00675972555514246,"2022-10"
2022-10-26,31839.11,3830.6001,10970.9902,27.28,113.86,3633.070887,8204.092589,186.536512,190.655,8.85204,123.1359015,140.2,89.08,1664.77,3.6255,5.606,179.75,685,0.6498,0.7379,1.0152,1.0077,1.1627,26.68,522.63365,2536.43005,20770.441271629,1.17,2.32,-0.35,0.13941168269901,0.00683223448228743,"2022-10"
2022-10-27,32033.28,3807.3,10792.6699,27.39,113.23,3590.812862,8180.015116,185.947632,191.655,8.85204,122.965947,142.78,87.9,1662.94,3.466,5.186,178.85,682.25,0.645,0.7372,1.0097,0.9962,1.1564,26.625,527.69423,2578.772,20285.836775702,1.17,2.33,-0.34,0.138331719463273,0.00683597087876406,"2022-10"
2022-10-28,32861.8,3901.0601,11102.4502,25.75,112.06,3599.651826,8182.34487,184.31536,190.975,8.85204,122.0716575,144.6,87.9,1641.76,3.429,5.684,169.8,680.75,0.6412,0.7372,1.004,0.9963,1.161,26.775,524.24955,2514.726,20595.351936601,1.11,2.4,-0.39,0.137883488452258,0.0067812701318957,"2022-10"
2022-10-31,32732.95,3871.98,10988.1504,25.88,111.96,3575.214782,8136.716457,184.835982,190.36,8.85204,120.602249,147.92,88.37,1633.12,3.5095,6.355,177.7,697.75,0.6399,0.7349,1.0036,0.9883,1.1469,27.17,514.38465,2515.438425,20495.774232033,1.08,2.37,-0.41,0.136931903764258,0.00672381912926542,"2022-10"
2022-11-01,32653.2,3856.1001,10890.8496,25.81,111.44,3605.017148,8251.867528,188.216656,190.46,8.9896,120.615847,148.42,90,1647.5,3.5055,5.714,174.6,687.5,0.6396,0.7347,0.9986,0.9874,1.1483,27.125,524.7443925,2591.13895,20485.27324309,1.02,2.37,-0.47,0.137409824802473,0.00674331568832395,"2022-11"
2022-11-02,32147.76,3759.6899,10524.7998,25.86,111.99,3555.727217,8136.461046,188.111052,190.555,8.942,119.9980995,141.17,88.17,1634.89,3.4565,6.268,182.15,679.25,0.6352,0.7343,1.0003,0.9817,1.1389,26.815,518.028665,2523.8024,20159.503067104,0.98,2.38,-0.51,0.137174211248285,0.00676063955650205,"2022-11"
2022-11-03,32001.25,3719.8899,10342.9404,25.3,110.34,3503.709818,8026.105395,188.111052,189.315,8.777,118.3040075,136.28,92.61,1629.15,3.7145,5.975,172.2,681,0.6288,0.7291,0.9967,0.9751,1.1165,26.11,498.573075,2449.601,20209.987415004,1.03,2.26,-0.57,0.136958159282339,0.00674422525712359,"2022-11"
2022-11-04,32403.22,3770.55,10475.25,24.55,111.62,3673.57668,8343.3805,184.958232,189.2,8.777,120.44628,128.44,92.61,1680.27,3.6865,6.4,175.75,681,0.6467,0.7277,0.9868,0.996,1.1375,26.665,515.3159375,2584.4,21147.229732238,1.06,2.35,-0.49,0.139176907767463,0.006821049759558,"2022-11"
2022-11-07,32827,3806.8,10564.5195,24.35,111.67,3715.84672,8403.018489,187.187952,188.775,8.777,120.9343395,128.33,91.79,1674.68,3.6295,6.944,170.55,675.75,0.6479,0.7401,1.0033,1.0019,1.1511,26.605,525.13182,2612.42145,20602.81672527,1.07,2.39,-0.5,0.138320239017373,0.00681965424352985,"2022-11"
2022-11-08,33160.83,3828.1101,10616.2002,25.54,113.55,3766.202816,8428.363104,192.317559,189.305,8.777,122.027316,126.33,88.91,1712.52,3.7055,6.138,166.45,667.5,0.6504,0.7411,1.0112,1.0072,1.1536,26.7,525.609,2629.9196,18541.271853224,1.08,2.39,-0.53,0.1379443532479,0.00686436024162548,"2022-11"
2022-11-09,32513.94,3748.5701,10353.1699,26.09,114.36,3735.113257,8294.377,188.471724,188.82,8.777,122.1666765,124.4,85.83,1706.53,3.7415,5.865,165.15,664.5,0.6431,0.7454,1.0158,1.0019,1.1368,26.715,519.5176,2641.9232,15880.779849172,1.17,2.31,-0.49,0.138085309103964,0.00682803591546891,"2022-11"
2022-11-10,33715.37,3956.3701,11114.1504,23.53,111.42,3920.413952,8625.46013,194.86731,191.595,8.777,125.626592,111.69,86.47,1752.26,3.796,6.239,171,653.25,0.6618,0.7393,1.0168,1.0192,1.1695,27.925,566.3596125,2819.6645,17586.771449547,1.2,2.31,-0.52,0.139140114094894,0.00709345628657563,"2022-11"
2022-11-11,33747.86,3992.9299,11323.3301,22.52,114.09,4005.4449,8662.363948,203.497704,191.355,9.49788,126.256676,111.69,88.96,1771.42,3.951,5.879,170.1,658,0.6703,0.7501,1.0364,1.0354,1.1837,28.14,574.44961,2915.749025,17034.293134713,1.2,2.31,-0.52,0.140680612804749,0.00720435142826267,"2022-11"
2022-11-14,33536.7,3957.25,11196.2197,23.73,113.67,4013.854075,8679.051784,198.540637,191.03,9.49788,125.8772375,119.99,85.87,1771.8,3.855,5.933,166.2,657.25,0.6697,0.7545,1.0593,1.0325,1.1752,27.83,562.09816,2873.9516,16618.199228891,1.1,2.32,-0.52,0.141362736782584,0.00714872931336455,"2022-11"
2022-11-15,33592.92,3991.73,11358.4102,24.54,115.94,4051.335132,8738.681952,201.529224,192.2,9.54648,126.649172,128.62,86.92,1778.25,3.8395,6.034,156.75,666.75,0.6757,0.7505,1.0602,1.0348,1.1858,27.75,564.91512,2864.59635,16884.613907055,1.06,2.3,-0.57,0.141954716445454,0.00717900857891525,"2022-11"
2022-11-16,33553.83,3958.79,11183.6602,24.11,115.56,4034.984976,8753.797052,201.80376,192.965,9.54648,128.071008,130.83,85.59,1773.77,3.788,6.2,155.45,665.25,0.6741,0.7534,1.0605,1.0392,1.1908,27.58,557.05624,2819.5167,16669.440144774,1.08,2.23,-0.68,0.141065609615032,0.00716563362115295,"2022-11"
2022-11-17,33546.32,3946.5601,11144.96,23.93,115.24,4018.04312,8714.465748,198.307047,192.64,9.54648,127.57822,132.18,81.64,1760.87,3.6895,6.369,152.7,667.5,0.6682,0.7499,1.0589,1.036,1.1862,26.775,552.65058,2785.1976,16687.517950541,1,2.24,-0.66,0.139733109760358,0.00713292200149791,"2022-11"
2022-11-18,33745.69,3965.3401,11146.0596,23.12,114.97,4052.004816,8776.951968,198.088367,192.5,9.54648,127.26911,129.33,80.08,1749.74,3.632,6.303,151.3,667.75,0.6672,0.7507,1.0497,1.0324,1.1884,27.3,562.58856,2788.8777,16697.777667787,0.96,2.22,-0.69,0.140457329063431,0.00712428311901115,"2022-11"
2022-11-21,33700.28,3949.9399,11024.5098,22.36,114.52,4005.05736,8723.86281,195.61353,192.66,9.54648,126.5923425,132.13,79.73,1738.6,3.5715,6.776,157.5,659.5,0.6606,0.7476,1.049,1.0245,1.1826,27.265,560.96631,2763.1449,15787.284094522,0.92,2.28,-0.65,0.139561497773994,0.00703556477996271,"2022-11"
2022-11-22,34098.1,4003.5801,11174.4102,21.29,116.24,4051.7269,8864.407896,199.621754,192.89,9.39614,127.467685,133.53,80.95,1741.32,3.6145,6.779,161.8,656.75,0.6649,0.7437,1.0434,1.031,1.1894,27.6,560.712895,2756.73185,16189.769531934,0.93,2.29,-0.71,0.140057984005378,0.00707939541963116,"2022-11"
2022-11-23,34194.06,4027.26,11285.3203,20.35,118.65,4111.401192,9015.770348,199.621754,193.64,9.53532,129.323843,136.2,77.94,1752.38,3.6175,7.308,160.1,663.25,0.6732,0.7484,1.0514,1.0418,1.2077,27.72,562.6976225,2767.142625,16610.706414935,0.85,2.31,-0.75,0.139655052021507,0.00716306722538591,"2022-11"
2022-11-24,34194.06,4027.26,11285.3203,20.42,118.65,4123.639192,9044.29258,204.358248,194.445,9.53532,129.923064,136.2,77.94,1755.39,3.6175,7.177,160.1,663.25,0.6764,0.7494,1.063,1.0408,1.2113,27.72,573.611115,2851.4002,16604.465017954,0.85,2.31,-0.75,0.139821029082774,0.00721370604147881,"2022-11"
2022-11-25,34347.03,4026.1201,11226.3604,20.5,128.11,4121.698882,9055.127365,203.637816,193.735,9.49896,128.953594,129.6,76.28,1754.68,3.6265,7.024,163.55,668,0.6751,0.7498,1.06,1.0402,1.2095,27.785,565.985525,2829.62525,16521.841018961,0.87,2.3,-0.74,0.139559550060011,0.00718829745174855,"2022-11"
2022-11-28,33849.46,3963.9399,11049.5,22.21,118.47,4068.136687,8937.433116,202.772376,194.085,9.4896,127.9358805,131.73,77.24,1740.75,3.6105,6.712,162.85,668.75,0.6651,0.7457,1.0555,1.0337,1.1958,27.56,552.10086,2777.2455,16217.322467641,0.88,2.23,-0.77,0.138730889819927,0.00719657443057105,"2022-11"
2022-11-29,33852.53,3957.6299,10983.7803,21.89,120.38,4063.096188,8979.0936,201.800448,193.945,9.4896,128.612458,131.23,78.2,1749.73,3.63,7.235,168.9,665.75,0.6688,0.7413,1.054,1.0327,1.1953,27.275,551.63095,2747.098225,16444.983270029,0.88,2.2,-0.73,0.139678460184655,0.00720954543816012,"2022-11"
2022-11-30,34589.77,4080.1101,11468,20.58,118.47,4125.29116,9130.06908,204.173627,193.095,9.60388,129.3705675,127.27,80.55,1768.45,3.7295,6.93,169.9,662,0.6787,0.7362,1.0479,1.0405,1.2056,27.405,546.67932,2737.3148,17168.565548486,0.98,2.27,-0.7,0.14099400775467,0.00724401463290956,"2022-11"
2022-12-01,34395.01,4076.5701,11482.4502,19.84,117.79,4192.4909,9261.417797,208.872992,195.34,9.75246,131.987968,119.77,81.22,1802.89,3.814,6.738,165.75,650,0.681,0.7456,1.0595,1.0522,1.2253,28.12,558.98186,2771.01595,16967.133667101,0.9,2.27,-0.72,0.141954716445454,0.00739180249103744,"2022-12"
2022-12-02,34429.88,4071.7,11461.5,19.06,118.11,4191.91102,9284.339801,205.55646,195.695,9.75246,132.046409,118.62,79.98,1797.82,3.848,6.281,162.6,635,0.679,0.7443,1.0679,1.0538,1.2287,27.955,569.25671,2815.258875,17088.660409402,0.85,2.35,-0.77,0.142460289194387,0.00744518482671332,"2022-12"
2022-12-05,33947.1,3998.8401,11239.9404,20.75,117.75,4150.795623,9223.317752,203.08892,195.915,9.597675,131.3001105,126.5,76.93,1768.39,3.7895,5.577,162.6,628.75,0.6698,0.7438,1.0679,1.0491,1.2188,27.76,566.77247,2829.1395,16974.825665134,0.81,2.32,-0.81,0.143636885952313,0.00731234689773683,"2022-12"
2022-12-06,33596.34,3941.26,11014.8896,22.17,117.11,4123.938011,9128.711043,203.566851,196.115,9.597675,131.668613,129.09,74.25,1770.91,3.8115,5.469,163.5,625.5,0.6693,0.7359,1.0612,1.0469,1.2137,27.345,560.85077,2786.958625,17089.50370601,0.8,2.24,-0.83,0.142938822184105,0.00729634088504615,"2022-12"
2022-12-07,33597.92,3933.9199,10958.5498,22.68,117.81,4118.90545,9136.062881,202.11072,197.35,9.597675,132.2842125,131.1,72.01,1786.22,3.8555,5.723,160.2,627.75,0.6724,0.7326,1.0615,1.0505,1.2199,27.5,562.12992,2786.556575,16848.1276289,0.79,2.19,-0.84,0.143434980923148,0.00731984042747868,"2022-12"
2022-12-08,33781.48,3963.51,11082,22.29,117.54,4139.292612,9140.705561,201.293339,197.565,9.597675,132.630862,129.54,71.46,1789.23,3.8805,5.962,158.7,632,0.6769,0.7327,1.0635,1.0556,1.2233,27.75,556.47917,2810.53175,17233.474019915,0.72,2.2,-0.83,0.143525561902575,0.00731716240441957,"2022-12"
2022-12-09,33476.46,3934.3799,11004.6201,22.83,119.24,4151.57886,9162.610065,203.677373,196.61,9.597675,131.50917,132.79,71.02,1796.63,3.876,6.245,158.15,634.75,0.6796,0.7354,1.0685,1.053,1.2255,27.585,560.237325,2818.65,17133.152014141,0.74,2.22,-0.76,0.143711197976546,0.00732198425773385,"2022-12"
2022-12-12,34005.04,3990.5601,11143.7402,25,121.86,4131.63737,9136.20519,203.249009,196.2,9.597675,131.43466,141.93,73.17,1781.15,3.7985,6.587,167.05,641.25,0.6746,0.7323,1.0695,1.0535,1.227,27.445,554.05185,2792.0385,17206.438300672,0.71,2.21,-0.78,0.143315753267599,0.00726321905868681,"2022-12"
2022-12-13,34108.64,4019.6499,11256.8096,22.55,122.73,4238.00029,9269.070306,206.86589,197.805,9.75986,132.7687,135.08,75.39,1810.29,3.8395,6.935,167.9,643.75,0.6854,0.7337,1.0687,1.063,1.2354,28.055,570.56949,2892.6891,17781.31883546,0.75,2.17,-0.71,0.143998848009216,0.00737544713648265,"2022-12"
2022-12-14,33966.35,3995.3201,11170.8896,21.14,124.23,4246.372732,9310.694653,208.355954,197.575,9.7902,132.905444,120.26,77.28,1807.27,3.875,6.43,168.15,639,0.6864,0.7377,1.0764,1.0682,1.2421,28.235,580.93017,2947.5033,17815.649854651,0.79,2.13,-0.74,0.143866261922916,0.00738143568924156,"2022-12"
2022-12-15,33202.22,3895.75,10810.5303,22.83,124.49,4075.81482,9042.104592,204.77741,197.94,9.7902,130.928259,111.26,76.11,1776.66,3.763,6.97,171.5,653.5,0.6702,0.738,1.0818,1.0626,1.2176,27.575,563.07912,2856.4896,17364.864911263,0.8,2.11,-0.79,0.14339384553615,0.00725821085102522,"2022-12"
2022-12-16,32920.46,3852.3601,10705.4102,22.62,120.04,4025.413964,8901.19368,200.947976,197.43,9.7902,129.671828,113.65,74.29,1792.34,3.7615,6.6,164.15,653,0.6685,0.7322,1.078,1.0582,1.214,26.7,539.4409,2719.0565,16647.483478829,0.84,2.12,-0.69,0.14340412717078,0.00731502139643758,"2022-12"
2022-12-19,32757.54,3817.6599,10546.0303,22.42,117.09,4041.82002,8941.047126,198.834772,196.275,9.7902,129.4923525,118.32,75.19,1787.44,3.783,5.71,164.05,647.25,0.67,0.7305,1.07,1.0605,1.2146,26.7,542.80474,2708.558,16439.679646163,0.81,2.11,-0.68,0.143272633494276,0.00730486869498521,"2022-12"
2022-12-20,32849.74,3821.6201,10547.1104,21.48,115.57,4038.624629,8978.152222,201.917028,195.34,9.918,128.747762,119.92,76.09,1817.41,3.7975,5.216,167.8,652,0.6678,0.733,1.0767,1.0621,1.2181,26.4,534.86771,2672.206875,16906.305210421,0.84,2.22,-0.56,0.143638949137448,0.00759272616833074,"2022-12"
2022-12-21,33376.48,3878.4399,10709.3701,20.07,114.25,4105.640645,9059.011756,200.546672,195.48,9.918,128.465948,115,78.29,1814.13,3.806,5.238,169.35,662.25,0.6707,0.7353,1.0797,1.0603,1.2083,26.945,540.35176,2743.747225,16817.534386551,0.86,2.23,-0.53,0.143235694335028,0.00754802430463826,"2022-12"
2022-12-22,33027.49,3822.3899,10476.1201,21.97,114.42,4050.011097,8995.253904,201.459812,195.66,9.918,127.846917,112.05,77.49,1792.57,3.7515,4.928,168.9,660.5,0.6667,0.7346,1.0796,1.0593,1.2043,26.48,533.38447,2726.836275,16830.341423934,0.84,2.14,-0.57,0.143174171379483,0.00755600891609052,"2022-12"
2022-12-23,33203.93,3844.8201,10497.8604,20.87,114.57,4051.374414,9010.955458,196.764375,195.15,9.795,127.95177,113.17,79.56,1797.91,3.803,4.98,172,666.25,0.6718,0.7333,1.0741,1.0614,1.2058,26.63,539.625645,2747.71675,16796.952171216,0.85,2.11,-0.56,0.143063563141104,0.0075298369790294,"2022-12"
2022-12-26,33203.93,3844.8201,10497.8604,20.87,114.57,4051.374414,9010.955458,198.044025,195.15,9.795,127.95177,113.17,79.56,1797.61,3.803,5.144,172,666.25,0.6727,0.7359,1.0719,1.0635,1.206,26.63,539.625645,2747.71675,16919.805174929,0.85,2.11,-0.56,0.143632759759846,0.00752587017873942,"2022-12"
2022-12-27,33241.56,3829.25,10353.2305,21.65,113.44,4077.428382,9010.955458,198.359025,195.15,9.77025,127.012401,124.89,79.53,1813.93,3.8335,5.282,166.95,674.75,0.6732,0.7376,1.0729,1.0638,1.2021,26.64,539.625645,2747.71675,16717.173980127,0.85,2.19,-0.48,0.143676096607807,0.00749147844327078,"2022-12"
2022-12-28,32875.71,3783.22,10213.29,22.14,112.03,4040.396256,9006.374347,197.55375,193.055,9.7425,126.754992,120.07,78.96,1804.09,3.832,4.709,173.55,682.75,0.6737,0.7394,1.0762,1.0608,1.2013,26.755,536.680775,2746.472125,16552.571736514,0.84,2.23,-0.43,0.14329316348317,0.00743632645473136,"2022-12"
2022-12-29,33220.8,3849.28,10478.0898,21.44,113.27,4104.559627,9054.330144,195.702525,193.48,9.703125,127.942661,120.25,78.4,1814.89,3.821,4.559,170.05,679.5,0.6779,0.7353,1.0779,1.0661,1.2052,26.31,545.77482,2801.7887,16642.342671886,0.85,2.22,-0.51,0.143599758752405,0.00751794910348457,"2022-12"
2022-12-30,33147.25,3839.5,10466.4805,21.67,113.57,4059.932124,9014.369878,198.3182,193.565,9.8268,127.739072,121.61,80.26,1824.4,3.8055,4.475,167.3,678.5,0.6814,0.7379,1.0836,1.0702,1.2097,26.74,544.6976675,2807.411275,16602.58515577,0.82,2.27,-0.53,0.144956947786507,0.00762631077216397,"2022-12"
2023-01-02,33147.25,3839.5,10466.4805,21.67,113.57,4111.363158,9014.369878,198.3182,193.565,9.8268,127.853373,121.61,80.26,1823.69,3.8055,4.143,167.3,678.5,0.6803,0.7392,1.0825,1.0662,1.2045,26.74,544.6976675,2807.411275,16688.471357393,0.82,2.27,-0.53,0.144956947786507,0.0076484760411488,"2023-01"
2023-01-03,33136.37,3824.1399,10386.9805,22.9,112.74,4094.263034,9039.224094,198.3182,194.08,9.78386,127.058208,129.97,76.93,1839.49,3.766,3.988,166.3,670.5,0.6734,0.7375,1.0823,1.0546,1.1966,26.515,550.286425,2842.22415,16679.857079814,0.9,2.23,-0.61,0.144613159797542,0.00763271381139564,"2023-01"
2023-01-04,33269.77,3852.97,10458.7598,22.01,112.14,4212.010803,9142.429507,195.448136,195.02,9.78386,128.6559615,125.78,72.84,1854.09,3.7395,4.172,161.3,653.75,0.6833,0.7313,1.0686,1.0599,1.2053,27.12,562.6039075,2932.4949,16863.238258283,0.9,2.23,-0.67,0.145163163395657,0.00753977229887657,"2023-01"
2023-01-05,32930.08,3808.1001,10305.2402,22.46,112.67,4165.37296,9088.38557,193.656,194.76,9.78386,127.28148,119.53,73.67,1833.19,3.818,3.72,160.55,652.75,0.6752,0.7416,1.0757,1.052,1.1906,26.48,549.4619,2873.81075,16836.736645224,0.85,2.22,-0.74,0.1453065969195,0.00749597091563285,"2023-01"
2023-01-06,33630.61,3895.0801,10569.29,21.13,113.86,4276.578252,9310.223308,197.40126,196.615,9.79868,129.755682,113.87,73.77,1865.71,3.9085,3.71,158.3,654,0.6876,0.7375,1.0686,1.0644,1.2092,26.79,558.74109,2928.0778,16951.969516629,0.91,2.24,-0.69,0.146230898588872,0.00757088238634213,"2023-01"
2023-01-09,33517.65,3892.0901,10635.6504,21.97,114.42,4364.815536,9411.294402,197.40126,197.39,9.8572,130.490028,116.67,74.63,1871.59,4.0185,3.91,158.05,652.75,0.6912,0.7443,1.0789,1.0728,1.2183,27.205,568.519695,3003.71865,17196.55405964,0.89,2.26,-0.66,0.14765596160945,0.00758236342267885,"2023-01"
